 "expertise" ,
 "Stuart J. Russell" ,
 "Diffbot" ,
 "Hypertext Transfer Protocol" ,
 "Graphiq" ,
 "HarperCollins" ,
 "Wikipedia" ,
 "Application programming interface" ,
 "Oracle Spatial and Graph" ,
 "GeoNames" ,
 "Semantic network" ,
 "Auteur" ,
 "Layer cake" ,
 "Alfred Lennon" ,
 "Knowledge representation and reasoning" ,
 "Simple Knowledge Organization System" ,
 "The Glass Palace" ,
 "Satori" ,
 "London" ,
 "Peter Norvig" ,
 "Description logic" ,
 "YAGO (database)" ,
 "France" ,
 "Mona Lisa" ,
 "Java" ,
 "Concordia University" ,
 "Concordia University" ,
 "DBpedia" ,
 "YouTube" ,
 "Istituto per la Ricostruzione Industriale" ,
 "Reading F.C." ,
 "PHP" ,
 "A2 road (England)" ,
 "David Rumelhart" ,
 "Artificial intelligence" ,
 "MAX Light Rail" ,
 "Software engineering" ,
 "Resource Description Framework" ,
 "FOAF (ontology)" ,
 "Liyang" ,
 "Julia the Elder" ,
 "Computer science" ,
 "WordNet" ,
 "John Lennon" ,
 "Berlin" ,
 "Leonardo da Vinci" ,
 "Liverpool" ,
 "Knowledge Navigator" ,
 "Free State Bottleneck" ,
 "Web Ontology Language" ,
 "Prentice Hall" ,
 "Wikidata" ,
 "World Wide Web" ,
 "Uniform Resource Identifier" ,
 "English language" ,
 "Exclusive or" ,
 "Java" ,
 "Concordia University" ,
 "Concordia University" ,
 "DBpedia" ,
 "RDF Schema" ,
 "Moodle" ,
 "Sport Club Internacional" ,
 "Resource Description Framework" ,
 "FOAF (ontology)" ,
 "Canada" ,
 "English language" ,
 "France" ,
 "Istituto per la Ricostruzione Industriale" ,
 "Artificial intelligence" ,
 "Resource Description Framework" ,
 "FOAF (ontology)" ,
 "Stephanie Brown (character)" ,
 "English language" ,
 "GitHub" ,
 "Concordia University" ,
 "Concordia University" ,
 "Moodle" ,
 "Corona" ,
 "Order of Australia" ,
 "ELIZA" ,
 "Microsoft Windows" ,
 "Canada" ,
 "English language" ,
 "Refinitiv" ,
 "UIMA" ,
 "Recommender system" ,
 "Layer cake" ,
 "Microsoft" ,
 "Apache Solr" ,
 "Tay (bot)" ,
 "France" ,
 "Mona Lisa" ,
 "Machine learning" ,
 "Concordia University" ,
 "Concordia University" ,
 "Amazon Alexa" ,
 "Deep learning" ,
 "Cortana" ,
 "Reading F.C." ,
 "IBM" ,
 "Gartner" ,
 "Artificial intelligence" ,
 "Sheffield" ,
 "Semantic Web" ,
 "Software engineering" ,
 "Resource Description Framework" ,
 "Graduate Aptitude Test in Engineering" ,
 "Chatbot" ,
 "Computer science" ,
 "Length overall" ,
 "Steve Jobs" ,
 "Natural language processing" ,
 "Bahar Begum" ,
 "Linked data" ,
 "Uniform Resource Identifier" ,
 "McGill University" ,
 "McGill University" ,
 "Montreal" ,
 "Concordia University" ,
 "Concordia University" ,
 "DBpedia" ,
 "Artificial intelligence" ,
 "Resource Description Framework" ,
 "Facebook" ,
 "English language" ,
 "K-nearest neighbors algorithm" ,
 "McGill University" ,
 "McGill University" ,
 "Concor Holdings" ,
 "Concordia University" ,
 "Concordia University" ,
 "DBpedia" ,
 "ML (programming language)" ,
 "2D computer graphics" ,
 "Qi" ,
 "Artificial intelligence" ,
 "Steve Jobs" ,
 "Rennae Stubbs" ,
 "Ham" ,
 "K-nearest neighbors algorithm" ,
 "Naive Bayes classifier" ,
 "United Kingdom" ,
 "Enron" ,
 "James Pustejovsky" ,
 "Creative Commons" ,
 "Gold standard" ,
 "Unsupervised learning" ,
 "Manhattan" ,
 "King Arthur" ,
 "Machine learning" ,
 "Concordia University" ,
 "Concordia University" ,
 "Guido Reni" ,
 "Deep learning" ,
 "ML (programming language)" ,
 "Netflix" ,
 "Reading F.C." ,
 "Intelligent Systems" ,
 "Chavacano" ,
 "Artificial intelligence" ,
 "Deputy lieutenant" ,
 "Software engineering" ,
 "Central Intelligence Agency" ,
 "O'Reilly Media" ,
 "Computer science" ,
 "BSD licenses" ,
 "Cambridge Analytica" ,
 "Alison DiLaurentis" ,
 "English language" ,
 "Usenet" ,
 "Apache Solr" ,
 "Democratic Party of the Left" ,
 "NuBus" ,
 "Moodle" ,
 "Trigonometric functions" ,
 "Order of Australia" ,
 "Apache Lucene" ,
 "Canada" ,
 "K-nearest neighbors algorithm" ,
 "ML (programming language)" ,
 "Qi" ,
 "Intelligent Systems" ,
 "University of Cambridge" ,
 "Recommender system" ,
 "Hamlet" ,
 "Metadata" ,
 "Cambridge University Press" ,
 "Euclidean space" ,
 "Information retrieval" ,
 "John Berryman" ,
 "Concordia University" ,
 "Concordia University" ,
 "Boolean algebra" ,
 "Netflix" ,
 "Reading F.C." ,
 "Netflix Prize" ,
 "Associated Press" ,
 "Christopher Moltisanti" ,
 "Julius Caesar" ,
 "Software engineering" ,
 "Anthony Julius" ,
 "Trigonometric functions" ,
 "Computer science" ,
 "Manning Publications" ,
 "Prabhakar Raghavan" ,
 "English language" ,
 "This Week (American TV program)" ,
 "Lego" ,
 "NumPy" ,
 "European Union" ,
 "Trigonometric functions" ,
 "Order of Australia" ,
 "Canada" ,
 "Wikidata" ,
 "English language" ,
 "Montreal" ,
 "Concordia University" ,
 "Concordia University" ,
 "DBpedia" ,
 "RDF Schema" ,
 "Moodle" ,
 "Resource Description Framework" ,
 "FOAF (ontology)" ,
 "City" ,
 "Canada" ,
 "The Next Web" ,
 "Flickr" ,
 "TED (conference)" ,
 "United States Congress" ,
 "Thesaurus" ,
 "Straitjacket Fits" ,
 "Layer cake" ,
 "Basketball Super League" ,
 "The Artist (film)" ,
 "Semantic triple" ,
 "The Glass Palace" ,
 "JSON" ,
 "Concordia University" ,
 "Concordia University" ,
 "Library of Congress" ,
 "Unicode" ,
 "Istituto per la Ricostruzione Industriale" ,
 "RDF Schema" ,
 "Christianity" ,
 "Reading F.C." ,
 "Artificial intelligence" ,
 "Software engineering" ,
 "Resource Description Framework" ,
 "FOAF (ontology)" ,
 "Schema.org" ,
 "Liyang" ,
 "Academy Awards" ,
 "URL" ,
 "Computer science" ,
 "International Organization for Standardization" ,
 "Manning Publications" ,
 "Berlin" ,
 "Gospel of Luke" ,
 "VVV-Venlo" ,
 "Morgan Grimes" ,
 "Le Palais" ,
 "Dublin Core" ,
 "Uniform Resource Identifier" ,
 "Montreal" ,
 "Yangtze" ,
 "Concordia University" ,
 "Concordia University" ,
 "DBpedia" ,
 "Artificial intelligence" ,
 "Nile" ,
 "Wikidata" ,
 "Recommender system" ,
 "Associated Press" ,
 "Israel Defense Forces" ,
 "Artificial intelligence" ,
 "Data publishing" ,
 "Saint Sebastian" ,
 "Uniform Resource Identifier" ,
 "English language" ,
 "Dieter Fensel" ,
 "LeBron James" ,
 "Flickr" ,
 "Wikipedia" ,
 "TED (conference)" ,
 "Amsterdam" ,
 "Milan" ,
 "Straitjacket Fits" ,
 "Layer cake" ,
 "Basketball Super League" ,
 "Open data" ,
 "The Glass Palace" ,
 "Oracle Rdb" ,
 "Freebase" ,
 "RT (TV network)" ,
 "Chams" ,
 "Concordia University" ,
 "Concordia University" ,
 "DBpedia" ,
 "Level of detail" ,
 "BabelNet" ,
 "Istituto per la Ricostruzione Industriale" ,
 "Ope" ,
 "Christianity" ,
 "Google" ,
 "Reading F.C." ,
 "Software engineering" ,
 "Resource Description Framework" ,
 "World Wide Web Consortium" ,
 "Liyang" ,
 "Computer science" ,
 "Springer Nature" ,
 "SQL" ,
 "Length overall" ,
 "Manning Publications" ,
 "Berlin" ,
 "Database schema" ,
 "MusicBrainz" ,
 "Natural language processing" ,
 "Gospel of Luke" ,
 "Physical education" ,
 "Canada" ,
 "Facebook" ,
 "Tim Berners-Lee" ,
 "Morgan Grimes" ,
 "Linked data" ,
 "Ontology" ,
 "Wikidata" ,
 "English language" ,
 "This Week (American TV program)" ,
 "Wikipedia" ,
 "Application programming interface" ,
 "Apache" ,
 "GitHub" ,
 "Montreal" ,
 "Pablo Picasso" ,
 "European Union" ,
 "Concordia University" ,
 "Concordia University" ,
 "DBpedia" ,
 "Paris Hilton" ,
 "Stevedore" ,
 "Quebec" ,
 "Moodle" ,
 "Order of Australia" ,
 "Microsoft Windows" ,
 "Loyola University Maryland" ,
 "Length overall" ,
 "Hilton Worldwide" ,
 "Canada" ,
 "Fuseki" ,
 "Wikidata" ,
 "WordPress.com" ,
 "English language" ,
 "Dieter Fensel" ,
 "LeBron James" ,
 "Flickr" ,
 "Amsterdam" ,
 "GeoNames" ,
 "Mexico" ,
 "Straitjacket Fits" ,
 "Gene ontology" ,
 "The Glass Palace" ,
 "Mona Lisa" ,
 "Sinclair QL" ,
 "Power-on self-test" ,
 "Concordia University" ,
 "Concordia University" ,
 "DBpedia" ,
 "National Cancer Institute" ,
 "Acceptable quality limit" ,
 "Istituto per la Ricostruzione Industriale" ,
 "RDF Schema" ,
 "Reading F.C." ,
 "SPARQL" ,
 "EC (programming language)" ,
 "MAX Light Rail" ,
 "Software engineering" ,
 "Resource Description Framework" ,
 "UniProt" ,
 "Liyang" ,
 "Computer science" ,
 "Manning Publications" ,
 "AVG AntiVirus" ,
 "N-Triples" ,
 "Berlin" ,
 "Gospel of Luke" ,
 "OBO Foundry" ,
 "Canton of Uri" ,
 "Web Ontology Language" ,
 "Uniform Resource Identifier" ,
 "Wikipedia" ,
 "Metadata" ,
 "Paris" ,
 "Concordia University" ,
 "Concordia University" ,
 "DBpedia" ,
 "Paris Hilton" ,
 "Artificial intelligence" ,
 "IMDb" ,
 "MTL Blog" ,
 "Resource Description Framework" ,
 "Calais (Reuters product)" ,
 "Hilton Worldwide" ,
 "Facebook" ,
 "Wikidata" ,
 "English language" ,
 "Localhost" ,
