 "course" , "subjectCode" , "courseNum" ,
 "SELECTED TOPICS IN SOFTWARE" , "COMP" , "749" ,
 "Techniques in Symbolic Computation" , "COMP" , "367" ,
 "Design and Analysis of Algorithms" , "COMP" , "465" ,
 "PATTERN RECOGNITION" , "COMP" , "6731" ,
 "COMPUTER VISION" , "COMP" , "425" ,
 "Project and Report" , "COMP" , "6971" ,
 "Introduction to Software Engineering" , "COMP" , "354" ,
 "ADV. ANALYSIS OF ALOGARITHMS" , "COMP" , "7651" ,
 "MACHINE LEARNING" , "COMP" , "6321" ,
 "COMPUTER ARCHITECTURE" , "COMP" , "5261" ,
 "Image Processing" , "COMP" , "478" ,
 "NUMERIC ANALY/NONLINEAR EQUA" , "COMP" , "6361" ,
 "Introduction to Theoretical Computer Science" , "COMP" , "335" ,
 "ALGORITHM DESIGN TECHNIQUES" , "COMP" , "6651" ,
 "Artificial Intelligence" , "COMP" , "472" ,
 "Computer Science Project I" , "COMP" , "490" ,
 "Data Analytics" , "COMP" , "333" ,
 "MASTER S RESEARCH AND THESIS" , "COMP" , "7941" ,
 "Computer Science Project II" , "COMP" , "492" ,
 "PARALLEL ALGORITHMS+ARCHIT E" , "COMP" , "7241" ,
 "PROJECT AND REPORT" , "COMP" , "6971" ,
 "INTRO/KNOWLEDGE-BASE SYSTEMS" , "COMP" , "6591" ,
 "ADV TOPICS MICROPROC SYSTEMS" , "COMP" , "427" ,
 "Data Communication and Computer Networks" , "COMP" , "445" ,
 "DOCTORAL RESEARCH AND THESIS" , "COMP" , "8901" ,
 "SELECT TOP-DIGITAL SYSTEMS" , "COMP" , "729" ,
 "Compiler Design" , "COMP" , "442" ,
 "DISTRIBUTED SYSTEM DESIGN" , "COMP" , "6231" ,
 "COMPUTER NETWORKS + PROTOCOL" , "COMP" , "6461" ,
 "DISCRETE STR.+FORMAL LANG." , "COMP" , "5361" ,
 "TOOLS+TECHNIQUES / SW ENGR." , "COMP" , "5541" ,
 "SEL TOPICS-INFORMATION MANA" , "COMP" , "759" ,
 "ADVANCED GAME DEVELOPMENT" , "COMP" , "6331" ,
 "COMPUTER VISION" , "COMP" , "6341" ,
 "Animation for Computer Games" , "COMP" , "477" ,
 "Parallel Programming" , "COMP" , "428" ,
 "TOPICS IN COMPUTER SCIENCE" , "COMP" , "499" ,
 "ADVANCED PROGRAM DESIGN, C++" , "COMP" , "345" ,
 "Computer Graphics" , "COMP" , "371" ,
 "SEL TOPICS-COMP APPLICATIONS" , "COMP" , "779" ,
 "MASTER S RESEARCH AND THESIS" , "COMP" , "7921" ,
 "NATURAL LANGUAGE ANALYSIS" , "COMP" , "6751" ,
 "SCIENTIFIC COMPUTATION" , "COMP" , "6351" ,
 "COMP.ANAL.NATURAL LANG.TEST" , "COMP" , "690" ,
 "Computer Architecture" , "COMP" , "326" ,
 "INTELLIGENT SYSTEMS" , "COMP" , "6741" ,
 "Multicore Programming" , "COMP" , "426" ,
 "Image Processing" , "COMP" , "6771" ,
 "ADV IMAGE PROC" , "COMP" , "7781" ,
 "APPL./SYMBOLIC+ALGEB.COMPU N" , "COMP" , "6611" ,
 "Object-Oriented Programming II" , "COMP" , "249" ,
 "ADVANCED PROGRAMMING" , "COMP" , "5421" ,
 "Program and Problem Solving" , "COMP" , "6481" ,
 "OPERATING SYSTEMS" , "COMP" , "5461" ,
 "Fundamentals of Programming" , "COMP" , "218" ,
 "Computer Science Industrial Experience Reflective Learning I" , "COMP" , "108" ,
 "DOCTORAL RESEARCH AND THESIS" , "COMP" , "890" ,
 "GRADUATE SEMINAR-COMP.SC." , "COMP" , "6961" ,
 "FOUNDATIONS/SEMANTIC WEB" , "COMP" , "6531" ,
 "COMPARAT.STUDY/PROGRAM.LANG." , "COMP" , "6411" ,
 "Honours Seminar" , "COMP" , "495" ,
 "Object-Oriented Programming I" , "COMP" , "248" ,
 "PRINCIPLES/DATA STRUCTURES" , "COMP" , "5511" ,
 "Operating Systems" , "COMP" , "346" ,
 "PROGRAM G + PROBLEM SOLVING" , "COMP" , "5481" ,
 "TOPICS IN COMP. SCIENCE II" , "COMP" , "791" ,
 "Advanced Game Development" , "COMP" , "476" ,
 "ADV.DATABASE TECH. AND APPL." , "COMP" , "6521" ,
 "COMBINATORIAL ALGORITHMS" , "COMP" , "6661" ,
 "THEORY OF COMPUTATION" , "COMP" , "6641" ,
 "Intelligent Systems" , "COMP" , "474" ,
 "COMBINATORICS" , "COMP" , "339" ,
 "COMP. ORGANIZ N+ASSEMB.LANG." , "COMP" , "5201" ,
 "PARALLEL PROGRAMMING" , "COMP" , "6281" ,
 "MASTER S RESEARCH AND THESIS" , "COMP" , "792" ,
 "Bioinformatics Databases and Systems" , "COMP" , "6821" ,
 "INFO. RETRIEVAL & WEB SEARCH" , "COMP" , "6791" ,
 "Machine Learning" , "COMP" , "432" ,
 "Probability and Statistics for Computer Science" , "COMP" , "233" ,
 "SEL TOP - NUMERICAL COMPUTAT" , "COMP" , "769" ,
 "DB SYSTEMS PRINCIPLES" , "COMP" , "7531" ,
 "TOPICS/COMPUTER SCIENCE II" , "COMP" , "790" ,
 "Digital Geometric Modelling" , "COMP" , "6381" ,
 "ANIMATION FOR COMPUTER GAMES" , "COMP" , "6311" ,
 "SEL TOP-THEORETICAL COMP SCI" , "COMP" , "739" ,
 "Pattern Recognition" , "COMP" , "473" ,
 "Computer Science Industrial Experience Reflective Learning II" , "COMP" , "208" ,
 "FILES AND DATABASES" , "COMP" , "5531" ,
 "ELEMENTARY NUMERICAL METHODS" , "COMP" , "5611" ,
 "Elementary Numerical Methods" , "COMP" , "361" ,
 "Databases" , "COMP" , "353" ,
 "Principles of Programming Languages" , "COMP" , "348" ,
 "TOPICS/COMPUTER SCIENCE" , "COMP" , "691" ,
 "System Hardware" , "COMP" , "228" ,
 "INTRO TO A.I." , "COMP" , "6721" ,
 "Introduction to Game Development" , "COMP" , "376" ,
 "Data Structures and Algorithms" , "COMP" , "352" ,
 "BIOINFORMATICS ALGORITHMS" , "COMP" , "6811" ,
 "ADVANCED COMPUTER GRAPHICS" , "COMP" , "6761" ,
 "COMPILER DESIGN" , "COMP" , "6421" ,
 "Information Retrieval and Web Search" , "COMP" , "479" ,
 "COMP 6781 Statistical Natural Language Processing" , "COMP" , "6781" ,
 "Introduction to Computing" , "COMP" , "201" ,
 "TOPICS IN COMPUTER SCIENCE" , "COMP" , "498" ,
 "Mathematics for Computer Science" , "COMP" , "232" ,
 "LARGE-SCALE OPTIMIZATION" , "COMP" , "6631" ,
