 "subject" , "catalog" , "count" ,
 "ACCO" , "220" , "5" ,
 "ACCO" , "230" , "4" ,
 "ACCO" , "240" , "6" ,
 "ACCO" , "310" , "4" ,
 "ACCO" , "320" , "4" ,
 "ACCO" , "330" , "3" ,
 "ACCO" , "340" , "6" ,
 "ACCO" , "350" , "1" ,
 "ACCO" , "355" , "6" ,
 "ACCO" , "360" , "3" ,
 "ACCO" , "365" , "6" ,
 "ACCO" , "400" , "5" ,
 "ACCO" , "420" , "4" ,
 "ACCO" , "425" , "6" ,
 "ACCO" , "430" , "3" ,
 "ACCO" , "435" , "4" ,
 "ACCO" , "440" , "8" ,
 "ACCO" , "450" , "3" ,
 "ACCO" , "455" , "5" ,
 "ACCO" , "465" , "7" ,
 "ACCO" , "470" , "2" ,
 "ACCO" , "471" , "2" ,
 "ACCO" , "495" , "2" ,
 "ACCO" , "590" , "4" ,
 "ACCO" , "595" , "6" ,
 "ACCO" , "600" , "17" ,
 "ACCO" , "601" , "4" ,
 "ACCO" , "602" , "11" ,
 "ACCO" , "603" , "5" ,
 "ACCO" , "604" , "3" ,
 "ACCO" , "605" , "8" ,
 "ACCO" , "606" , "5" ,
 "ACCO" , "607" , "2" ,
 "ACCO" , "608" , "7" ,
 "ACCO" , "609" , "4" ,
 "ACCO" , "631" , "6" ,
 "ACCO" , "631T" , "2" ,
 "ACCO" , "635" , "5" ,
 "ACCO" , "635T" , "3" ,
 "ACCO" , "643X" , "6" ,
 "ACCO" , "650" , "2" ,
 "ACCO" , "650T" , "11" ,
 "ACCO" , "651" , "4" ,
 "ACCO" , "651T" , "6" ,
 "ACCO" , "652" , "5" ,
 "ACCO" , "652T" , "3" ,
 "ACCO" , "653" , "4" ,
 "ACCO" , "653T" , "5" ,
 "ACCO" , "654" , "5" ,
 "ACCO" , "654T" , "10" ,
 "ACCO" , "655" , "3" ,
 "ACCO" , "655T" , "4" ,
 "ACCO" , "656" , "6" ,
 "ACCO" , "656T" , "5" ,
 "ACCO" , "657" , "3" ,
 "ACCO" , "657T" , "8" ,
 "ACCO" , "658" , "7" ,
 "ACCO" , "658T" , "1" ,
 "ACCO" , "659" , "4" ,
 "ACCO" , "659T" , "3" ,
 "ACCO" , "672" , "8" ,
 "ACCO" , "681" , "3" ,
 "ACCO" , "682" , "3" ,
 "ACCO" , "685" , "5" ,
 "ACCO" , "690B" , "5" ,
 "ACCO" , "691" , "6" ,
 "ACCO" , "692" , "6" ,
 "ACCO" , "695" , "6" ,
 "ACTT" , "201" , "8" ,
 "ACTT" , "202" , "6" ,
 "ACTT" , "209" , "9" ,
 "ACTT" , "210" , "9" ,
 "ACTT" , "211" , "7" ,
 "ACTT" , "231" , "9" ,
 "ACTT" , "298" , "3" ,
 "ACTT" , "299" , "2" ,
 "ACTT" , "321" , "8" ,
 "ACTT" , "325" , "10" ,
 "ACTT" , "331" , "5" ,
 "ACTT" , "332" , "6" ,
 "ACTT" , "355" , "2" ,
 "ACTT" , "358" , "18" ,
 "ACTT" , "360" , "11" ,
 "ACTT" , "370" , "5" ,
 "ACTT" , "372" , "3" ,
 "ACTT" , "398" , "7" ,
 "ACTT" , "399" , "5" ,
 "ACTT" , "432" , "7" ,
 "ACTT" , "433" , "9" ,
 "ACTT" , "434" , "9" ,
 "ACTT" , "435" , "9" ,
 "ACTT" , "436" , "11" ,
 "ACTT" , "437" , "7" ,
 "ACTT" , "438" , "9" ,
 "ACTT" , "440" , "10" ,
 "ACTT" , "450" , "9" ,
 "ACTT" , "455" , "7" ,
 "ACTT" , "458" , "5" ,
 "ACTT" , "460" , "10" ,
 "ACTT" , "461" , "5" ,
 "ACTT" , "462" , "1" ,
 "ACTT" , "465" , "8" ,
 "ACTT" , "480" , "4" ,
 "ACTT" , "481" , "6" ,
 "ACTT" , "498" , "7" ,
 "ACTT" , "499" , "5" ,
 "ACTU" , "256" , "4" ,
 "ACTU" , "257" , "3" ,
 "ACTU" , "286" , "10" ,
 "ACTU" , "357" , "8" ,
 "ACTU" , "386" , "5" ,
 "ACTU" , "457" , "5" ,
 "ACTU" , "458" , "5" ,
 "ACTU" , "459" , "4" ,
 "ACTU" , "486" , "5" ,
 "ACTU" , "491" , "4" ,
 "ACTU" , "492" , "4" ,
 "ACTU" , "493" , "8" ,
 "ADED" , "201" , "9" ,
 "ADED" , "202" , "4" ,
 "ADED" , "220" , "3" ,
 "ADED" , "344" , "3" ,
 "ADED" , "345" , "6" ,
 "ADED" , "403" , "13" ,
 "ADED" , "440" , "8" ,
 "ADED" , "489" , "4" ,
 "ADED" , "492" , "3" ,
 "ADED" , "494" , "10" ,
 "ADED" , "496" , "4" ,
 "ADED" , "497" , "5" ,
 "ADED" , "498" , "3" ,
 "ADED" , "498C" , "6" ,
 "ADIP" , "500" , "4" ,
 "ADIP" , "501" , "7" ,
 "ADIP" , "511" , "5" ,
 "ADIP" , "513" , "2" ,
 "ADIP" , "520" , "9" ,
 "ADIP" , "533" , "11" ,
 "ADIP" , "535" , "5" ,
 "ADIP" , "540" , "4" ,
 "ADIP" , "541" , "6" ,
 "ADIP" , "542" , "4" ,
 "ADIP" , "544" , "4" ,
 "ADIP" , "572" , "5" ,
 "ADIP" , "580" , "2" ,
 "ADIP" , "581" , "8" ,
 "ADIP" , "585" , "7" ,
 "ADIP" , "586" , "6" ,
 "ADIP" , "589" , "7" ,
 "ADIP" , "590" , "5" ,
 "ADIP" , "597" , "6" ,
 "ADIP" , "598" , "4" ,
