 "topicURI" , "topicLabel" , "catalog" , "subject" , "topicCount" ,
 "http://dbpedia.org/resource/Concordia_University" , "Concordia" , "474" , "COMP" , "75" ,
 "http://dbpedia.org/resource/DBpedia" , "DBpedia" , "474" , "COMP" , "36" ,
 "http://dbpedia.org/resource/English_language" , "English language" , "474" , "COMP" , "24" ,
 "http://dbpedia.org/resource/Artificial_intelligence" , "AI" , "474" , "COMP" , "22" ,
 "http://dbpedia.org/resource/Resource_Description_Framework" , "RDF" , "474" , "COMP" , "18" ,
 "http://dbpedia.org/resource/Artificial_intelligence" , "AI" , "6721" , "COMP" , "18" ,
 "http://dbpedia.org/resource/Natural_language_processing" , "Natural Language Processing (NLP)" , "474" , "COMP" , "15" ,
 "http://dbpedia.org/resource/RDF_Schema" , "RDF Schema" , "474" , "COMP" , "10" ,
 "http://dbpedia.org/resource/Concordia_University" , "Concordia" , "6721" , "COMP" , "10" ,
 "http://dbpedia.org/resource/Machine_learning" , "ML" , "6721" , "COMP" , "10" ,
 "http://dbpedia.org/resource/Main_Page" , "Concordia University" , "474" , "COMP" , "9" ,
 "http://dbpedia.org/resource/Sigmoid_function" , "Sigmoid" , "6721" , "COMP" , "9" ,
 "http://dbpedia.org/resource/Convolutional_neural_network" , "convolutional neural network" , "6721" , "COMP" , "9" ,
 "http://dbpedia.org/resource/Canada" , "Canada" , "474" , "COMP" , "8" ,
 "http://dbpedia.org/resource/FOAF_(ontology)" , "FOAF" , "474" , "COMP" , "8" ,
 "http://dbpedia.org/resource/Machine_learning" , "ML" , "474" , "COMP" , "8" ,
 "http://dbpedia.org/resource/McGill_University" , "McGill" , "474" , "COMP" , "8" ,
 "http://dbpedia.org/resource/McGill_University" , "McGill" , "6721" , "COMP" , "8" ,
 "http://dbpedia.org/resource/Computer_science" , "Computer Science" , "474" , "COMP" , "7" ,
 "http://dbpedia.org/resource/K-nearest_neighbors_algorithm" , "KNN" , "474" , "COMP" , "6" ,
 "http://dbpedia.org/resource/Semantic_triple" , "RDF triple" , "474" , "COMP" , "6" ,
 "http://dbpedia.org/resource/Fuseki" , "fuseki" , "474" , "COMP" , "6" ,
 "http://dbpedia.org/resource/English_language" , "English language" , "6721" , "COMP" , "6" ,
 "http://dbpedia.org/resource/Natural_language_processing" , "Natural Language Processing (NLP)" , "6721" , "COMP" , "6" ,
 "http://dbpedia.org/resource/Naive_Bayes_classifier" , "Naïve Bayes" , "6721" , "COMP" , "6" ,
 "http://dbpedia.org/resource/Unsupervised_learning" , "Unsupervised" , "6721" , "COMP" , "6" ,
 "http://dbpedia.org/resource/Internationalized_Resource_Identifier" , "IRI" , "474" , "COMP" , "5" ,
 "http://dbpedia.org/resource/Deep_learning" , "Deep Learning" , "6721" , "COMP" , "5" ,
 "http://dbpedia.org/resource/Artificial_neuron" , "neuron" , "6721" , "COMP" , "5" ,
 "http://dbpedia.org/resource/Amazon_Alexa" , "Amazon Alexa" , "474" , "COMP" , "4" ,
 "http://dbpedia.org/resource/GitHub" , "Github" , "474" , "COMP" , "4" ,
 "http://dbpedia.org/resource/Heidelberg" , "Heidelberg" , "474" , "COMP" , "4" ,
 "http://dbpedia.org/resource/Layer_cake" , "Layer Cake" , "474" , "COMP" , "4" ,
 "http://dbpedia.org/resource/Liyang" , "Liyang" , "474" , "COMP" , "4" ,
 "http://dbpedia.org/resource/The_Glass_Palace" , "The Glass Palace" , "474" , "COMP" , "4" ,
 "http://dbpedia.org/resource/Wikipedia" , "Wikipedia" , "474" , "COMP" , "4" ,
 "http://dbpedia.org/resource/Library_of_Congress" , "loc" , "474" , "COMP" , "4" ,
 "http://dbpedia.org/resource/University_of_Alberta" , "Alberta" , "6721" , "COMP" , "4" ,
 "http://dbpedia.org/resource/Alison_DiLaurentis" , "Alison" , "6721" , "COMP" , "4" ,
 "http://dbpedia.org/resource/Garry_Kasparov" , "Garry Kasparov" , "6721" , "COMP" , "4" ,
 "http://dbpedia.org/resource/Geoffrey_Hinton" , "Geoff Hinton" , "6721" , "COMP" , "4" ,
 "http://dbpedia.org/resource/Terry_Winograd" , "Winograd" , "6721" , "COMP" , "4" ,
 "http://dbpedia.org/resource/BMW_X5" , "X5" , "6721" , "COMP" , "4" ,
 "http://dbpedia.org/resource/Yann_LeCun" , "Yann LeCun" , "6721" , "COMP" , "4" ,
 "http://dbpedia.org/resource/Humboldt_University_of_Berlin" , "Berlin" , "474" , "COMP" , "3" ,
 "http://dbpedia.org/resource/Straitjacket_Fits" , "David Wood" , "474" , "COMP" , "3" ,
 "http://dbpedia.org/resource/French_language" , "French" , "474" , "COMP" , "3" ,
 "http://dbpedia.org/resource/Gospel_of_Luke" , "Luke" , "474" , "COMP" , "3" ,
 "http://dbpedia.org/resource/Mona_Lisa" , "Mona Lisa" , "474" , "COMP" , "3" ,
 "http://dbpedia.org/resource/Moodle" , "Moodle" , "474" , "COMP" , "3" ,
 "http://dbpedia.org/resource/XML" , "RDF/XML" , "474" , "COMP" , "3" ,
 "http://dbpedia.org/resource/Recommender_system" , "Recommender Systems" , "474" , "COMP" , "3" ,
 "http://dbpedia.org/resource/This_Week_(American_TV_program)" , "This week" , "474" , "COMP" , "3" ,
 "http://dbpedia.org/resource/AlphaGo" , "AlphaGo" , "6721" , "COMP" , "3" ,
 "http://dbpedia.org/resource/Canada" , "Canada" , "6721" , "COMP" , "3" ,
 "http://dbpedia.org/resource/DBpedia" , "DBpedia" , "6721" , "COMP" , "3" ,
 "http://dbpedia.org/resource/Comet_Man" , "Max" , "6721" , "COMP" , "3" ,
 "http://dbpedia.org/resource/Perceptron" , "Perceptron" , "6721" , "COMP" , "3" ,
 "http://dbpedia.org/resource/CXCR4" , "X4" , "6721" , "COMP" , "3" ,
 "http://dbpedia.org/resource/Exclusive_or" , "XOR" , "6721" , "COMP" , "3" ,
 "http://dbpedia.org/resource/Application_programming_interface" , "API" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Amsterdam" , "Amsterdam" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Berlin" , "Berlin" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Chapter_VII_of_the_United_Nations_Charter" , "Chapter 7" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Christianity" , "Christian" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/X86" , "DL" , "474" , "COMP" , "2" ,
