 "topicLabel" , "courseURI" , "eventURI" , "resourceURI" ,
 "Data Publishing" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture05" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Slides/slides05.pdf" ,
 "Weak AI" , "http://focu.io/data#courseID_040353" , "http://focu.io/data#040353_Lecture01" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP6721/Slides/slides01.pdf" ,
 "Wordpress.com" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture04" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Slides/slides04.pdf" ,
 "PE" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture05" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Slides/slides05.pdf" ,
 "English language" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture07" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Worksheets/worksheet07.pdf" ,
 "English language" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture03" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Labs/lab03.pdf" ,
 "English language" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture04" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Slides/slides04.pdf" ,
 "English language" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture01" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Labs/lab01.pdf" ,
 "English language" , "http://focu.io/data#courseID_040353" , "http://focu.io/data#040353_Lecture01" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP6721/Labs/lab01.pdf" ,
 "English language" , "http://focu.io/data#courseID_040353" , "http://focu.io/data#040353_Lecture01" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP6721/Slides/slides01.pdf" ,
 "English language" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture01" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Slides/slides01.pdf" ,
 "English language" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture05" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Slides/slides05.pdf" ,
 "English language" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture02" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Labs/lab02.pdf" ,
 "English language" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture04" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Labs/lab04.pdf" ,
 "English language" , "http://focu.io/data#courseID_005484" , "http://focu.io/data#005484_Lecture07" , "C:/Users/Admin/PycharmProjects/unibot/Data/Lectures/COMP474/Labs/lab07.pdf" ,
