"course","subjectCode","courseNum"
"INFO. RETRIEVAL & WEB SEARCH","COMP","6791"
"COMPUTER VISION","COMP","6341"
"Artificial Intelligence","COMP","472"
"Image Processing","COMP","6771"
"Techniques in Symbolic Computation","COMP","367"
"TOPICS IN COMP. SCIENCE II","COMP","791"
"PROGRAM G + PROBLEM SOLVING","COMP","5481"
"Computer Science Project I","COMP","490"
"Computer Architecture","COMP","326"
"Fundamentals of Programming","COMP","218"
"Probability and Statistics for Computer Science","COMP","233"
"TOPICS/COMPUTER SCIENCE","COMP","691"
"SEL TOPICS-INFORMATION MANA","COMP","759"
"Principles of Programming Languages","COMP","348"
"GRADUATE SEMINAR-COMP.SC.","COMP","6961"
"Data Structures and Algorithms","COMP","352"
"Databases","COMP","353"
"ADVANCED PROGRAM DESIGN, C++","COMP","345"
"Advanced Game Development","COMP","476"
"ALGORITHM DESIGN TECHNIQUES","COMP","6651"
"MASTER S RESEARCH AND THESIS","COMP","7921"
"OPERATING SYSTEMS","COMP","5461"
"Digital Geometric Modelling","COMP","6381"
"ADVANCED GAME DEVELOPMENT","COMP","6331"
"SELECTED TOPICS IN SOFTWARE","COMP","749"
"INTELLIGENT SYSTEMS","COMP","6741"
"COMPARAT.STUDY/PROGRAM.LANG.","COMP","6411"
"Introduction to Game Development","COMP","376"
"COMP 6781 Statistical Natural Language Processing","COMP","6781"
"INTRO/KNOWLEDGE-BASE SYSTEMS","COMP","6591"
"SCIENTIFIC COMPUTATION","COMP","6351"
"PROJECT AND REPORT","COMP","6971"
"DISTRIBUTED SYSTEM DESIGN","COMP","6231"
"Program and Problem Solving","COMP","6481"
"SEL TOPICS-COMP APPLICATIONS","COMP","779"
"Introduction to Computing","COMP","201"
"ADV TOPICS MICROPROC SYSTEMS","COMP","427"
"ADV. ANALYSIS OF ALOGARITHMS","COMP","7651"
"MASTER S RESEARCH AND THESIS","COMP","792"
"NUMERIC ANALY/NONLINEAR EQUA","COMP","6361"
"COMPUTER NETWORKS + PROTOCOL","COMP","6461"
"THEORY OF COMPUTATION","COMP","6641"
"FOUNDATIONS/SEMANTIC WEB","COMP","6531"
"COMP.ANAL.NATURAL LANG.TEST","COMP","690"
"Animation for Computer Games","COMP","477"
"Multicore Programming","COMP","426"
"ADV IMAGE PROC","COMP","7781"
"FILES AND DATABASES","COMP","5531"
"Design and Analysis of Algorithms","COMP","465"
"Honours Seminar","COMP","495"
"Intelligent Systems","COMP","474"
"APPL./SYMBOLIC+ALGEB.COMPU N","COMP","6611"
"System Hardware","COMP","228"
"SEL TOP-THEORETICAL COMP SCI","COMP","739"
"Object-Oriented Programming I","COMP","248"
"PARALLEL ALGORITHMS+ARCHIT E","COMP","7241"
"BIOINFORMATICS ALGORITHMS","COMP","6811"
"COMBINATORICS","COMP","339"
"PRINCIPLES/DATA STRUCTURES","COMP","5511"
"COMPUTER ARCHITECTURE","COMP","5261"
"MACHINE LEARNING","COMP","6321"
"ADVANCED COMPUTER GRAPHICS","COMP","6761"
"COMPILER DESIGN","COMP","6421"
"Computer Graphics","COMP","371"
"ADV.DATABASE TECH. AND APPL.","COMP","6521"
"Machine Learning","COMP","432"
"NATURAL LANGUAGE ANALYSIS","COMP","6751"
"PATTERN RECOGNITION","COMP","6731"
"Elementary Numerical Methods","COMP","361"
"Introduction to Theoretical Computer Science","COMP","335"
"Data Communication and Computer Networks","COMP","445"
"DOCTORAL RESEARCH AND THESIS","COMP","890"
"DB SYSTEMS PRINCIPLES","COMP","7531"
"Computer Science Project II","COMP","492"
"MASTER S RESEARCH AND THESIS","COMP","7941"
"Computer Science Industrial Experience Reflective Learning I","COMP","108"
"TOOLS+TECHNIQUES / SW ENGR.","COMP","5541"
"TOPICS IN COMPUTER SCIENCE","COMP","499"
"Compiler Design","COMP","442"
"ANIMATION FOR COMPUTER GAMES","COMP","6311"
"Mathematics for Computer Science","COMP","232"
"DISCRETE STR.+FORMAL LANG.","COMP","5361"
"Object-Oriented Programming II","COMP","249"
"COMBINATORIAL ALGORITHMS","COMP","6661"
"ADVANCED PROGRAMMING","COMP","5421"
"Computer Science Industrial Experience Reflective Learning II","COMP","208"
"TOPICS/COMPUTER SCIENCE II","COMP","790"
"COMP. ORGANIZ N+ASSEMB.LANG.","COMP","5201"
"Image Processing","COMP","478"
"SELECT TOP-DIGITAL SYSTEMS","COMP","729"
"DOCTORAL RESEARCH AND THESIS","COMP","8901"
"SEL TOP - NUMERICAL COMPUTAT","COMP","769"
"COMPUTER VISION","COMP","425"
"Information Retrieval and Web Search","COMP","479"
"Operating Systems","COMP","346"
"INTRO TO A.I.","COMP","6721"
"Bioinformatics Databases and Systems","COMP","6821"
"Data Analytics","COMP","333"
"Pattern Recognition","COMP","473"
"TOPICS IN COMPUTER SCIENCE","COMP","498"
"LARGE-SCALE OPTIMIZATION","COMP","6631"
"Project and Report","COMP","6971"
"PARALLEL PROGRAMMING","COMP","6281"
"ELEMENTARY NUMERICAL METHODS","COMP","5611"
"Parallel Programming","COMP","428"
"Introduction to Software Engineering","COMP","354"
