"title","subjectCode","courseNum","credit"
"Smart Grids and Control System Security","INSE","6640","4.0"
"NUMERICAL ANALYSIS","MATH","683","4.0"
"HYDRAULIC STRUCTURES","CIVI","6381","4.0"
"INFO. RETRIEVAL & WEB SEARCH","COMP","6791","4.0"
"PRODUCT DESIGN & METHODOLOGY","INSE","6411","4.0"
"CLOUD NETWORK/SERVICE PROVIS","ENCS","691K","4.0"
"ENERGY MGMT. IN BUILDINGS","BLDG","6781","4.0"
"Tutorial in Performance Management","ACCO","656T","4.0"
"CONSTRUCTION PLANN G+CONTROL","BLDG","6801","4.0"
"Reinforced Earth","CIVI","321","4.0"
"COMPUTER VISION","COMP","6341","4.0"
"CONCURRENT ENG.IN AERO.SYST.","MECH","6941","4.0"
"Artificial Intelligence","COMP","472","4.0"
"TOT. QUALITY PROJ.MANAGEMENT","INSE","6230","4.0"
"INFORMATION SYSTEMS SECURITY CYBERCRIME INVESTIGATION","INSE","6610","4.0"
"Special Topics I: Chemical Engineering Research Protocols and Safety","CHME","6911","4.0"
"QUAL. ASS. SUPPLY CHAIN MGT","INSE","6300","4.0"
"TUTORIAL IN INF SYS/INT.CONT","ACCO","603","4.0"
"MASTERS LEVEL STUDIES POLYMER SCIENCE","INDI","640","4.0"
"QUALITY BASED SYSTEM ENG.","INSE","6270","4.0"
"Tutorial in Assurance and Professional Practice","ACCO","654T","4.0"
"AEROELASTICITY","MECH","6481","4.0"
"ADV SEPAR PROCESSES","CHME","6081","4.0"
"NUMERICALLY CONTROLLED MACH.","MECH","6611","4.0"
"DIGITAL CONTROL OF DYNAMIC SYSTEMS","ENGR","7181","4.0"
"BUSINESS PRACTICES/CONSTR N","BLDG","7861","4.0"
"Image Processing","COMP","6771","4.0"
"NONLINEAR SYSTEMS","ENGR","6141","4.0"
"Distributed Systems","SOEN","423","4.0"
"REAL-TIME + MULTI. COMM. INT","ELEC","6181","4.0"
"DEPT SEM FOR M. SC. STUDENTS","PHYS","761","4.0"
"INTRO TO TRIBOLOGY","MECH","6431","4.0"
"MICROPROCESS + APPLICATIONS","MECH","6621","4.0"
"Tutorial in Capstone II Examination","ACCO","609","4.0"
"KINETIC THEORY OF GASES","MECH","6101","4.0"
"SPEC MASTER'S LEVEL STUDIES","SPEC","640","4.0"
"FLIGHT CONTROL SYSTEMS","MECH","6091","4.0"
"SOFT. COMP.& MAINTENANCE","SOEN","6431","4.0"
"TOPICS IN COMP. SCIENCE II","COMP","791","4.0"
"REAL TIME COMP CONTROL SYS","ELEC","6061","4.0"
"TELECOMMUNICATIONS NETWORKS","ELEC","6851","4.0"
"Reinforced Earth","CIVI","321","4.0"
"Applied Genetic and Evolutionary Systems","COEN","6321","4.0"
