"title","wiki"
"University Canada West","http://www.wikidata.org/entity/Q7894536"
"University of New Brunswick","http://www.wikidata.org/entity/Q1112515"
"Canadian Mennonite University","http://www.wikidata.org/entity/Q5030319"
"Trent University","http://www.wikidata.org/entity/Q3075124"
"University of Winnipeg","http://www.wikidata.org/entity/Q472167"
"Université du Québec à Rimouski","http://www.wikidata.org/entity/Q170288"
"Quest University","http://www.wikidata.org/entity/Q7271467"
"Queen's University at Kingston","http://www.wikidata.org/entity/Q1420038"
"Tyndale University","http://www.wikidata.org/entity/Q13428647"
"McMaster University","http://www.wikidata.org/entity/Q632891"
"Carleton University","http://www.wikidata.org/entity/Q1041737"
"Mount Allison University","http://www.wikidata.org/entity/Q742150"
"University of Guelph","http://www.wikidata.org/entity/Q795988"
"St. Stephen's University","http://www.wikidata.org/entity/Q7591785"
"McGill University","http://www.wikidata.org/entity/Q201492"
"Providence University College and Theological Seminary","http://www.wikidata.org/entity/Q7252500"
"Ambrose University","http://www.wikidata.org/entity/Q4741870"
"Université de Moncton","http://www.wikidata.org/entity/Q2557355"
"Université du Québec à Chicoutimi","http://www.wikidata.org/entity/Q2562289"
"OCAD University","http://www.wikidata.org/entity/Q1632007"
"Université du Québec à Trois-Rivières","http://www.wikidata.org/entity/Q919256"
"University of Lethbridge","http://www.wikidata.org/entity/Q1689439"
"University College of the North","http://www.wikidata.org/entity/Q7894664"
"St. Francis Xavier University","http://www.wikidata.org/entity/Q2038889"
"Saint Mary's University (Halifax)","http://www.wikidata.org/entity/Q2212977"
"Prince of Wales College","http://www.wikidata.org/entity/Q7244377"
"Burman University","http://www.wikidata.org/entity/Q5030647"
"Atlantic School of Theology","http://www.wikidata.org/entity/Q4816532"
"MacEwan University","http://www.wikidata.org/entity/Q6721877"
"Athabasca University","http://www.wikidata.org/entity/Q754656"
"Bishop's University","http://www.wikidata.org/entity/Q3551383"
"University of Alberta Campus Saint-Jean","http://www.wikidata.org/entity/Q2935649"
"University of Northern British Columbia","http://www.wikidata.org/entity/Q1165458"
"University of Manitoba","http://www.wikidata.org/entity/Q1191833"
"Université Laval","http://www.wikidata.org/entity/Q1067935"
"Emily Carr University of Art and Design","http://www.wikidata.org/entity/Q1337587"
"Université du Québec en Abitibi-Témiscamingue","http://www.wikidata.org/entity/Q2077260"
"University of Toronto","http://www.wikidata.org/entity/Q180865"
"Fairleigh Dickinson University","http://www.wikidata.org/entity/Q1393301"
"Simon Fraser University","http://www.wikidata.org/entity/Q201603"
"Nipissing University","http://www.wikidata.org/entity/Q6421119"
"University of Saskatchewan","http://www.wikidata.org/entity/Q1514848"
"First Nations University of Canada","http://www.wikidata.org/entity/Q1381496"
"Brandon University","http://www.wikidata.org/entity/Q4957110"
"NSCAD University","http://www.wikidata.org/entity/Q1131966"
"University of Fredericton","http://www.wikidata.org/entity/Q7895437"
"Yukon University","http://www.wikidata.org/entity/Q16211981"
"Concordia University of Edmonton","http://www.wikidata.org/entity/Q5159003"
"University of Western Ontario","http://www.wikidata.org/entity/Q1144262"
"École de technologie supérieure","http://www.wikidata.org/entity/Q3577916"
"Booth University College","http://www.wikidata.org/entity/Q4943892"
"Concordia University","http://www.wikidata.org/entity/Q326342"
"University of Prince Edward Island","http://www.wikidata.org/entity/Q1030305"
"University of Alberta","http://www.wikidata.org/entity/Q640694"
"University of Ottawa","http://www.wikidata.org/entity/Q627969"
"Trinity Western University","http://www.wikidata.org/entity/Q6569551"
"St. Mary's University (Calgary)","http://www.wikidata.org/entity/Q7590444"
"St. Mary's University (Calgary)","http://www.wikidata.org/entity/Q7590448"
"University of Windsor","http://www.wikidata.org/entity/Q2065769"
"Université de Sherbrooke","http://www.wikidata.org/entity/Q2579532"
"Thompson Rivers University","http://www.wikidata.org/entity/Q3551501"
"Université de Saint-Boniface","http://www.wikidata.org/entity/Q3551667"
"Thompson Rivers University, Open Learning","http://www.wikidata.org/entity/Q7795772"
"Redeemer University","http://www.wikidata.org/entity/Q7305718"
"HEC Montréal","http://www.wikidata.org/entity/Q273527"
"Glendon College","http://www.wikidata.org/entity/Q2493808"
"Saint Dunstan's University","http://www.wikidata.org/entity/Q14768306"
"St. Thomas University (Canada)","http://www.wikidata.org/entity/Q3551491"
"Institut national de la recherche scientifique","http://www.wikidata.org/entity/Q3152403"
"University of Calgary","http://www.wikidata.org/entity/Q1067471"
"École nationale d'administration publique","http://www.wikidata.org/entity/Q3578074"
"Ontario Institute for Studies in Education","http://www.wikidata.org/entity/Q7094796"
"Université TÉLUQ","http://www.wikidata.org/entity/Q288006"
"Atlantic Veterinary College","http://www.wikidata.org/entity/Q4816588"
"Université Sainte-Anne","http://www.wikidata.org/entity/Q3058135"
"Lakehead University","http://www.wikidata.org/entity/Q1165215"
"Kwantlen Polytechnic University","http://www.wikidata.org/entity/Q3335261"
"University of Regina","http://www.wikidata.org/entity/Q3104287"
"Royal Roads University","http://www.wikidata.org/entity/Q1813315"
"York University","http://www.wikidata.org/entity/Q849751"
"Crandall University","http://www.wikidata.org/entity/Q4475796"
"Capilano University","http://www.wikidata.org/entity/Q1034602"
"Laurentian University","http://www.wikidata.org/entity/Q3551432"
"Mount Royal University","http://www.wikidata.org/entity/Q13650869"
"University of the Fraser Valley","http://www.wikidata.org/entity/Q2495961"
"Dalhousie University","http://www.wikidata.org/entity/Q579321"
"The King's University (Edmonton)","http://www.wikidata.org/entity/Q6411128"
"University of British Columbia","http://www.wikidata.org/entity/Q391028"
