 "subjectArea" , "catalog" , "studentId" , "nbTimesTaken" ,
 "CEPS" , "1012EO" , "49182836" , "2" ,
 "CECR" , "1102" , "47266970" , "2" ,
 "CEBD" , "1300" , "49237110" , "2" ,
 "CEPR" , "135" , "49182836" , "2" ,
 "PSYC" , "200" , "43720948" , "2" ,
 "BIOL" , "201" , "43875426" , "2" ,
 "CWTA" , "201" , "49704637" , "2" ,
 "JOUR" , "202" , "49182836" , "2" ,
 "FMAN" , "203" , "43875426" , "2" ,
 "SCPA" , "203" , "47470325" , "2" ,
 "GEOG" , "203" , "49026273" , "2" ,
 "ANTH" , "204" , "41890804" , "2" ,
 "MATH" , "204" , "46449046" , "2" ,
 "PHYS" , "205" , "49237110" , "2" ,
 "IRST" , "209" , "43903621" , "2" ,
 "CESF" , "209" , "47470325" , "2" ,
 "KCEP" , "210" , "40342524" , "2" ,
 "PHOT" , "210" , "47124701" , "2" ,
 "HISW" , "210" , "47192857" , "2" ,
 "COMM" , "210" , "49182836" , "2" ,
 "ACTT" , "211" , "44812274" , "2" ,
 "HIST" , "211" , "49237110" , "2" ,
 "JOUR" , "215" , "40140896" , "2" ,
 "JOUR" , "216" , "47192857" , "2" ,
 "FRAN" , "218" , "49632949" , "2" ,
 "JPER" , "220" , "49632949" , "2" ,
 "TESL" , "221" , "41741491" , "2" ,
 "ANTH" , "221" , "49182836" , "2" ,
 "RELI" , "224" , "44113542" , "2" ,
 "THEO" , "226" , "48116564" , "2" ,
 "GERM" , "231" , "43720948" , "2" ,
 "ENGL" , "238" , "42854779" , "2" ,
 "ENGL" , "240" , "43903621" , "2" ,
 "CHEM" , "242" , "47842432" , "2" ,
 "STAT" , "250" , "43948970" , "2" ,
 "PHIL" , "255" , "46449046" , "2" ,
 "PSYC" , "255" , "47470325" , "2" ,
 "FFAR" , "255" , "48116564" , "2" ,
 "ARTH" , "263" , "42932159" , "2" ,
 "DART" , "263" , "43903621" , "2" ,
 "CLAS" , "263" , "49632949" , "2" ,
 "ARTH" , "267" , "43720948" , "2" ,
 "EDUC" , "270" , "43948970" , "2" ,
 "ANTH" , "272" , "49026273" , "2" ,
 "HIST" , "274" , "48779658" , "2" ,
 "SOEN" , "287" , "43875426" , "2" ,
 "DART" , "291" , "40346208" , "2" ,
 "MODL" , "301" , "42932159" , "2" ,
 "PERC" , "303" , "43911237" , "2" ,
 "IRST" , "304" , "42932159" , "2" ,
 "COMS" , "305" , "42375618" , "2" ,
 "ACCO" , "310" , "43720948" , "2" ,
 "FMST" , "311" , "43948970" , "2" ,
 "DRAW" , "312" , "47192857" , "2" ,
 "FLIT" , "312" , "47470325" , "2" ,
 "RELI" , "313" , "48814381" , "2" ,
 "MHIS" , "314" , "49237110" , "2" ,
 "FMAN" , "315" , "49182836" , "2" ,
 "PHIL" , "316" , "48742510" , "2" ,
 "FMST" , "316" , "49632949" , "2" ,
 "RELI" , "319" , "42932159" , "2" ,
 "INDU" , "320" , "49632949" , "2" ,
 "ACTT" , "325" , "43903621" , "2" ,
 "FMST" , "326" , "46449046" , "2" ,
 "TESL" , "330" , "42932159" , "2" ,
 "PHIL" , "330" , "49822274" , "2" ,
 "SOCI" , "331" , "43875426" , "2" ,
 "MHIS" , "331" , "47192857" , "2" ,
 "FMST" , "331" , "48116564" , "2" ,
 "FMST" , "335" , "47470325" , "2" ,
 "MATH" , "339" , "43875426" , "2" ,
 "FLIT" , "341" , "43948970" , "2" ,
 "MECH" , "343" , "49026273" , "2" ,
 "CART" , "345" , "40600031" , "2" ,
 "TPER" , "345" , "43948970" , "2" ,
 "COMP" , "345" , "49026273" , "2" ,
 "CART" , "346" , "43948970" , "2" ,
 "BIOL" , "351" , "43903621" , "2" ,
 "MUSI" , "352" , "43903621" , "2" ,
 "COMP" , "353" , "43903621" , "2" ,
 "MATH" , "354" , "49237110" , "2" ,
 "GEOG" , "355" , "49273636" , "2" ,
 "SCOM" , "361" , "46449046" , "2" ,
 "SPAN" , "362" , "49182836" , "2" ,
 "ELEC" , "363" , "43875426" , "2" ,
 "PSYC" , "363" , "43875426" , "2" ,
 "SPAN" , "365" , "46449046" , "2" ,
 "JOUR" , "366" , "48116564" , "2" ,
 "FLIT" , "367" , "49632949" , "2" ,
 "ARTH" , "368" , "47192857" , "2" ,
 "ARTH" , "369" , "43875426" , "2" ,
 "CLAS" , "369" , "43948970" , "2" ,
 "POLI" , "371" , "44476659" , "2" ,
 "ENGL" , "374" , "47470325" , "2" ,
 "ARTX" , "380" , "42932159" , "2" ,
 "EDUC" , "381" , "48116564" , "2" ,
 "AHSC" , "382" , "46898611" , "2" ,
 "ANTH" , "385" , "43903621" , "2" ,
 "ARTH" , "386" , "44812274" , "2" ,
 "ARTH" , "387" , "40253141" , "2" ,
 "PERC" , "388" , "43948970" , "2" ,
 "SOEN" , "390" , "47192857" , "2" ,
 "MATH" , "392" , "40817548" , "2" ,
 "WSDB" , "392" , "42932159" , "2" ,
 "BTM" , "395" , "43720948" , "2" ,
 "RELI" , "397" , "42932159" , "2" ,
 "SOCI" , "397" , "45272656" , "2" ,
 "PHIL" , "398" , "42932159" , "2" ,
 "TESL" , "398" , "43720948" , "2" ,
 "SPAN" , "398" , "43877634" , "2" ,
 "MODL" , "398" , "43903621" , "2" ,
 "SCUL" , "398" , "47192857" , "2" ,
 "THEA" , "398" , "49026273" , "2" ,
 "FMST" , "399" , "43720948" , "2" ,
 "DFTT" , "401" , "48116564" , "2" ,
 "RELI" , "402" , "47192857" , "2" ,
 "COMS" , "410" , "43875426" , "2" ,
 "FINA" , "411" , "43948970" , "2" ,
 "FMST" , "411" , "46449046" , "2" ,
 "MUSI" , "412" , "44812274" , "2" ,
 "FMST" , "412" , "49026273" , "2" ,
 "COMS" , "414" , "43875426" , "2" ,
 "FINA" , "415" , "47192857" , "2" ,
 "EXCI" , "415" , "48116564" , "2" ,
 "CEJV" , "416" , "48116564" , "2" ,
 "AERO" , "417" , "41928209" , "2" ,
 "CEPH" , "419" , "43609373" , "2" ,
 "MOVI" , "420" , "49237110" , "2" ,
 "SOCI" , "421" , "41955444" , "2" ,
 "EXCI" , "422" , "49026273" , "2" ,
 "SOEN" , "423" , "42932159" , "2" ,
 "EXCI" , "425" , "49026273" , "2" ,
 "CHEM" , "426" , "42932159" , "2" ,
 "RELI" , "430" , "40588358" , "2" ,
 "LING" , "435" , "43903621" , "2" ,
 "SOCI" , "437" , "40596460" , "2" ,
 "AHSC" , "438" , "46449046" , "2" ,
 "BIOL" , "438" , "48397525" , "2" ,
 "ANTH" , "441" , "44812274" , "2" ,
 "SOCI" , "441" , "44812274" , "2" ,
 "PRIN" , "451" , "43720948" , "2" ,
 "INTE" , "451" , "47192857" , "2" ,
 "ITAL" , "452" , "44812274" , "2" ,
 "CIVI" , "453" , "49632949" , "2" ,
 "SPAN" , "455" , "49237110" , "2" ,
 "CART" , "456" , "43903621" , "2" ,
 "CART" , "457" , "48116564" , "2" ,
 "GPCB" , "460" , "49462106" , "2" ,
 "ECON" , "461" , "49991970" , "2" ,
 "COMS" , "462" , "49237110" , "2" ,
 "SPAN" , "465" , "46645624" , "2" ,
 "BLDG" , "465" , "49026273" , "2" ,
 "SPAN" , "469" , "49632949" , "2" ,
 "PTNG" , "472" , "43903621" , "2" ,
 "ARTT" , "472" , "47470325" , "2" ,
 "ELEC" , "473" , "49237110" , "2" ,
 "LIBS" , "479" , "48116564" , "2" ,
 "GERM" , "481C" , "49347063" , "2" ,
 "MARK" , "485" , "43948970" , "2" ,
 "GEOG" , "485" , "46449046" , "2" ,
 "SOEN" , "487" , "49632949" , "2" ,
 "SCOL" , "490" , "49182836" , "2" ,
